module_id,module_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
tlprocess,Teaching Learning Process,easy,"What is defined as a psychological process that prepares a person for general living conditions?","Training","Education","Learning","Teaching",B
tlprocess,Teaching Learning Process,easy,"What is a planned process to modify attitude, knowledge, and skill for a specific task?","Education","Guidance","Training","Assessment",C
tlprocess,Teaching Learning Process,easy,"What is the process of imparting knowledge, motivating, and guiding trainees to learn?","Learning","Education","Assessment","Teaching",D
tlprocess,Teaching Learning Process,easy,"A relatively permanent change in behavior brought about by repeated practice is known as what?","Instruction","Learning","Guidance","Aptitude",B
tlprocess,Teaching Learning Process,easy,"Which of the following is described as broad-based and general in nature?","Training","Education","Skill Development","Task Analysis",B
tlprocess,Teaching Learning Process,easy,"Which process can be terminated once a person achieves satisfactory performance of a task?","Education","Learning","Training","Socialization",C
tlprocess,Teaching Learning Process,easy,"What are the three stages of the teaching operation?","Before, During, After","Plan, Do, Check","Pre-active, Inter-active, Post-active","Knowledge, Skill, Attitude",C
tlprocess,Teaching Learning Process,easy,"What is the first stage in the teaching operation, also known as the planning stage?","Inter-active stage","Post-active stage","Pre-active stage","Evaluation stage",C
tlprocess,Teaching Learning Process,easy,"In which stage does the instructor interact with the trainees in the classroom?","Pre-active stage","Inter-active stage","Post-active stage","Feedback stage",B
tlprocess,Teaching Learning Process,easy,"In which stage does the instructor analyze the performance of trainees and identify weak areas?","Post-active stage","Pre-active stage","Inter-active stage","Planning stage",A
tlprocess,Teaching Learning Process,easy,"Setting or preparing objectives is a key activity of which teaching stage?","Inter-active stage","Post-active stage","Pre-active stage","Execution stage",C
tlprocess,Teaching Learning Process,easy,"According to the text, when does the inter-active stage of teaching begin?","After the test","During lesson planning","When the instructor enters the class","After the summary",C
tlprocess,Teaching Learning Process,easy,"Sizing up the class and arranging seating is an activity of which stage?","Post-active Stage","Pre-active Stage","Inter-active Stage","Assessment Stage",C
tlprocess,Teaching Learning Process,easy,"What is a general principle of learning mentioned in the text?","Learning is purely an individual activity","Active trainee participation is necessary","Learning happens best in silence","New ideas should be kept separate from old ones",B
tlprocess,Teaching Learning Process,easy,"What is the visible outcome of learning?","The length of the class","The instructor's satisfaction","A change in behaviour in trainees","The amount of content covered",C
tlprocess,Teaching Learning Process,easy,"What learning outcome is described as the learning of facts, figures, and experiences?","Skill","Understanding","Concept","Knowledge",D
tlprocess,Teaching Learning Process,easy,"The performance of a job or task with a set standard is which learning outcome?","Aptitude","Skill","Interest","Adjustment",B
tlprocess,Teaching Learning Process,easy,"Gaining insight into the subject is defined as which learning outcome?","Knowledge","Concept","Understanding","Activities",C
tlprocess,Teaching Learning Process,easy,"When trainees perceive new ideas, theories, and generalisations, which learning outcome has been achieved?","Concept","Aptitude","Interest","Adjustment",A
tlprocess,Teaching Learning Process,easy,"Which principle states that learning is improved if the results of performance are announced?","Principle of Active Participation","Principle of Similarity","Principle of Feedback","Principle of Pleasant Surroundings",C
tlprocess,Teaching Learning Process,hard,"An instructor is deciding whether to use a lecture or a group discussion for an upcoming topic. In which stage of the teaching process is the instructor operating?","Inter-active stage","Post-active stage","Pre-active stage","Evaluation stage",C
tlprocess,Teaching Learning Process,hard,"During a class, an instructor notices some trainees are struggling and decides to ask more direct questions to gauge understanding before moving on. This action is part of which stage?","Pre-active stage","Inter-active stage","Post-active stage","Planning stage",B
tlprocess,Teaching Learning Process,hard,"After reviewing test scores, an instructor concludes that their method of teaching a particular skill was ineffective and needs to be redesigned. This reflection occurs in which stage?","Pre-active stage","Inter-active stage","Post-active stage","Conceptualization stage",C
tlprocess,Teaching Learning Process,hard,"Which statement best synthesizes the primary difference between Education and Training based on the provided text?","Education is theoretical, while Training is entirely practical.","Education prepares for life's possibilities, while Training prepares for satisfactory job performance.","Education is only for the young, while Training is for adults.","Education focuses on attitude, while Training focuses on knowledge.",B
tlprocess,Teaching Learning Process,hard,"Connecting new ideas to a trainee's existing knowledge aligns with which principle of learning?","People learn better when they know why they have to learn.","Learning is better when new ideas are explained in terms of knowledge already acquired.","Active trainee participation is necessary for effective learning.","Similarity between tasks leads to effective learning.",B
tlprocess,Teaching Learning Process,hard,"Which teaching stage is most critical for an instructor's own professional development and improvement of teaching techniques?","The Pre-active stage, as it involves all the planning.","The Inter-active stage, as it involves direct student contact.","The Post-active stage, as it involves analysis and examining changes to instruction.","All stages are equally important for instructor development.",C
tlprocess,Teaching Learning Process,hard,"An instructor teaching car mechanics first teaches how to change a tire, then how to change the oil, building on similar motor skills. This approach leverages which principle of learning?","Principle of Generalisation","Principle of Satisfaction","Principle of Similarity","Principle of Understanding Problems",C
tlprocess,Teaching Learning Process,hard,"A trainee who was previously uninterested in public speaking develops a new hobby of joining debate clubs after a communications course. This represents which learning outcome?","Aptitude","Adjustment","Interest","Concept",C
tlprocess,Teaching Learning Process,hard,"Why is it crucial to identify the 'entry behaviour' of trainees in the inter-active stage?","To ensure all trainees have the same level of knowledge.","To tailor the presentation of subject matter effectively.","To complete the class sizing-up activity.","To plan the post-active stage tests.",B
tlprocess,Teaching Learning Process,hard,"Which of the following is the best example of the 'Post-active' stage of teaching?","Delivering a lecture on a new topic.","Arranging the subject matter logically before class.","Designing a final exam to measure learning.","Asking trainees questions during the lesson.",C
tlprocess,Teaching Learning Process,hard,"A trainee successfully learns to operate three different types of machines and can now quickly learn a new, similar machine. Which learning outcome is most evident?","Adjustment","Knowledge","Skill","Aptitude",D
tlprocess,Teaching Learning Process,hard,"The principle of providing a 'wide range of solutions/examples' is specifically aimed at helping trainees with what?","Generalisation of concepts","Mastery of a single skill","Development of a new interest","Adjustment to new situations",A
learningtheories,Learning Theories,easy,"According to the text, learning theories can be broadly divided into which two groups?","Cognitive and Behavioral","Practical and Theoretical","Pre-twentieth century and Twentieth century","Simple and Complex",C
learningtheories,Learning Theories,easy,"Which pre-twentieth century theory considers the mind to have 'muscles' that are exercised by drill and practice?","Natural Unfoldment","Appreciation","Mental Discipline","Connectionism",C
learningtheories,Learning Theories,easy,"Which theory defines learning as the process of new ideas associating themselves with old ones already in the mind?","Appreciation","Mental Discipline","Gestalt Theory","Trial and Error",A
learningtheories,Learning Theories,easy,"Twentieth-century theories are broadly classified into S-R (Stimulus-Response) theories and what other type?","Behavioral theories","Cognitive theories","Readiness theories","Effect theories",B
learningtheories,Learning Theories,easy,"S-R theorists, who believe experience is the only source of knowledge, follow a philosophy known as what?","Rationalism","Mechanism","Empiricism","Reductionism",C
